"experiment_id","task_id","dataset","model_id","forecast_origin","seed","checkpoint_name","archived_relative_path","expected_release_asset","checkpoint_sha256","bytes","resolved_config_sha256","run_status_sha256","prediction_sha256","model_code_hash","data_protocol_hash","checkpoint_role","release_status","replay_status"
"unified_rerun_v1","v1_0190_favorita_20170301_dlinear_s13","Favorita","dlinear","2017-03-01","13","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0190_favorita_20170301_dlinear_s13/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","704c151263de8b35322ff7101b9c6dcdb8065e10f4f82bf7df8d32a040600589","79752","7c646f5017b14022f51a955db7230833f82df793a987aacbd920f98b1117e3ac","9be8ec6f4e9c48168e19e6b2c5d1ddfd2c2abefa3c50c30954a8c8fbe9608480","e78c2e64f7c2938377c4eaab62e4abce97761e19040b54c349e88a9cea46313e","not_recovered","cd0beeec37632daa955a38f9eba4e42ab5553d9daac470a0028c402132af43b1","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
"unified_rerun_v1","v1_0191_favorita_20170301_dlinear_s29","Favorita","dlinear","2017-03-01","29","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0191_favorita_20170301_dlinear_s29/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","c77e1b4c48fd6d1f5d9af4c7c244e529bb7e21b17346217f87429a8e398766c2","80328","1d179137571aef14b7acb2ee8ba95b87eb26b686c73534c51cbe28664ac806dc","a96d2511f7a5397e97e2d8609d1c78fae2d7769b58b00776cc02914d7db3374e","1a257f673f419def36ee2c08f17354a393cb09adafd777f3d1849189407b3d36","not_recovered","cd0beeec37632daa955a38f9eba4e42ab5553d9daac470a0028c402132af43b1","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
"unified_rerun_v1","v1_0192_favorita_20170301_dlinear_s47","Favorita","dlinear","2017-03-01","47","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0192_favorita_20170301_dlinear_s47/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","4111a434f819012c162a618a291c71a15eb1a8842b9431bfe18cab672ff4f3ab","79816","9fd04d3bd4d011e1d522669c3d986d60128756503a1460487cc263c1c92a5aa0","9a17ecad5bf6801ee80800d6077b569c946725adefd6d9c70b90fae17a79d705","7ba94c2390cacd2e95b0e2b87d76e06d7d2fe7217386167b5b961edaa467945f","not_recovered","cd0beeec37632daa955a38f9eba4e42ab5553d9daac470a0028c402132af43b1","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
"unified_rerun_v1","v1_0193_favorita_20170329_dlinear_s13","Favorita","dlinear","2017-03-29","13","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0193_favorita_20170329_dlinear_s13/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","b139dfecd0090583faa3b947c428a61dbf7666d159dc5a142ee5a9b48d9e5b57","79880","1ca4d49f73a6f24f0e6a661ce6710408e16527b79db83a85ab6673a1873f0251","f8061e5a81c280534a8609eb4657b7e0abde3fc73bd7638a554cf0846236e265","22ed68bae27a0ff6eee8d1a5989a4263fc8867863fcf30beeb775c4e88fddffc","not_recovered","345dabcf47b0f7e1fb1895e4c61f5d5ebffaa56e09a9f5b2d7896f439c70937b","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
"unified_rerun_v1","v1_0194_favorita_20170329_dlinear_s29","Favorita","dlinear","2017-03-29","29","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0194_favorita_20170329_dlinear_s29/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","f0563ed2b606bc60213e2dab799c40948c16d35b63bb1cfa32aef2853c013c5c","79560","df22362db7fe8136ada8133cf32549d719d9b989026ee00e0547b536cfb13e01","a61227b8d0214b0e2a7ffada5395ccb9c0b256b0d0acc6b1a8d564a5ecfc91d4","985f70f7bf2b08c0215d1b4c31240edb6ec22418fbd957b9bb679992e9fc0328","not_recovered","345dabcf47b0f7e1fb1895e4c61f5d5ebffaa56e09a9f5b2d7896f439c70937b","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
"unified_rerun_v1","v1_0195_favorita_20170329_dlinear_s47","Favorita","dlinear","2017-03-29","47","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0195_favorita_20170329_dlinear_s47/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","7165f59f5321c8e2839efa6ebd97ab418197e3d80416b53c1c3d0c088f70b469","79880","e52f7c84f955a165322f6428ba92a07e1ae59174cdd7572e4b93ba3a1766f25f","bd74ca8e146515b4316d5d44fee33cb0e8573946f9143bc4a390c68d90ae63ba","0fe5ad07be326c8a65af36298b031fc5fbdf889df9de6859e3f79bc7dbba7191","not_recovered","345dabcf47b0f7e1fb1895e4c61f5d5ebffaa56e09a9f5b2d7896f439c70937b","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
"unified_rerun_v1","v1_0196_favorita_20170426_dlinear_s13","Favorita","dlinear","2017-04-26","13","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0196_favorita_20170426_dlinear_s13/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","babd7837349ded4d6680870dbdb8b50de93599518f04eb6b5e34eb32081bddde","80840","ad6ee3d5a565c7efdc02f2f824f52ba6ffefa4fa344470e4eaf390f6daf20679","9b1fa447aa80d64b326ad366803b328dc557513a1c60d763bcb84e9eb1eb8159","407ec4b0343bfc80655ddaceec551d61d42676d8b15a83a5ae977e333b2023c2","not_recovered","c488ebe713d35972ff5a908aa6c2090b4ea444972f31abbf215c0d17998dda91","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
"unified_rerun_v1","v1_0197_favorita_20170426_dlinear_s29","Favorita","dlinear","2017-04-26","29","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0197_favorita_20170426_dlinear_s29/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","4538c9240dddc48b693fe8d505d8f7488f2304c9b4afc762643f1b0fcb20f9a3","80776","e6e79fe1aa176bab4c0a48e5d6aa794b423df6242a0c938d0cbb22c4c5fb964b","1030ba7219a1c5ea1cb00abf381df9155a431e3186ab945804c82011ac78ce1b","790ab05baf80701061366bbc9e5eff4d930edac9932ed6f04fcc1626b804750e","not_recovered","c488ebe713d35972ff5a908aa6c2090b4ea444972f31abbf215c0d17998dda91","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
"unified_rerun_v1","v1_0198_favorita_20170426_dlinear_s47","Favorita","dlinear","2017-04-26","47","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0198_favorita_20170426_dlinear_s47/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","bd45c9879f16317dcd21755bee8b632777e001117131093c04d313b3e1d5376c","80456","bb2645d6719c5c183c84cb66c521b15b06bb198031c186c690ca257facbd186c","52ee2a031c335d9c46e6f1e0b702d40726110e2280ef90a59d97d56a3d83d65f","db9f28c9201108e485c397d7060539988aca6138bd646ad92706c346f2ccf2f9","not_recovered","c488ebe713d35972ff5a908aa6c2090b4ea444972f31abbf215c0d17998dda91","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
"unified_rerun_v1","v1_0013_favorita_20170301_global_lightgbm_s13","Favorita","global_lightgbm","2017-03-01","13","checkpoint_final.pt","<local-archive>/统一重跑实验_20260826/outputs/full_unified_run_v1/stage2/v1_0013_favorita_20170301_global_lightgbm_s13/checkpoint_final.pt","unified_rerun_v1_checkpoints_favorita.zip","bb6aef3eb99cb8a5482ee9768827285d61656229d2544f0e32ae59558f733a60","1055840","ebe527e96d3a8ce1d5e2dea4e8e4b1922d1c1834c659e0e8cde614f77337436f","8ed4b5a7dd30450f88c3682e6e458c015e9646f059ef4e451c66e12fa42420cf","251e85cf5a8453526bfe77b6f95a8f84de1dbe8cef7aa4a4e3258ff7ef592ff5","not_recovered","cd0beeec37632daa955a38f9eba4e42ab5553d9daac470a0028c402132af43b1","final_refit","planned_not_uploaded","blocked_by_nonportable_model_and_data_interfaces"
